QUARTER,YEAR,EMPLOYMENT,LFPR,AGE,GENDER,GDP,CPI
1,2011,96.2,96.1,3,1,7.6,1.9
1,2011,96.7,96.6,4,1,7.6,1.9
1,2011,96.6,95.5,5,1,7.6,1.9
1,2011,96.8,94,6,1,7.6,1.9
1,2011,95.6,88.9,7,1,7.6,1.9
1,2011,96.4,77.1,8,1,7.6,1.9
1,2011,96.9,49,9,1,7.6,1.9
1,2011,,10.6,10,1,7.6,1.9
2,2011,85.5,8.2,0,0,5.1,5.3
2,2011,93.9,56.5,1,0,5.1,5.3
2,2011,97.3,85.3,2,0,5.1,5.3
2,2011,97.6,76.3,3,0,5.1,5.3
2,2011,97.4,68.5,4,0,5.1,5.3
2,2011,97.1,68.7,5,0,5.1,5.3
2,2011,97.4,66.4,6,0,5.1,5.3
2,2011,97,58,7,0,5.1,5.3
2,2011,97.8,41.9,8,0,5.1,5.3
2,2011,98.4,21.1,9,0,5.1,5.3
2,2011,,2.6,10,0,5.1,5.3
2,2011,77.7,10.6,0,1,5.1,5.3
2,2011,87.6,59.4,1,1,5.1,5.3
2,2011,94.9,93.8,2,1,5.1,5.3
2,2011,97.1,97.1,3,1,5.1,5.3
2,2011,97,96.7,4,1,5.1,5.3
2,2011,97.5,96,5,1,5.1,5.3
2,2011,96.4,95.1,6,1,5.1,5.3
2,2011,95.9,90.6,7,1,5.1,5.3
2,2011,95.3,78.8,8,1,5.1,5.3
2,2011,97.6,48.9,9,1,5.1,5.3
2,2011,98.2,10.5,10,1,5.1,5.3
3,2011,82.7,10.8,0,0,3.9,4.4
3,2011,90.7,61.8,1,0,3.9,4.4
3,2011,97.7,83.4,2,0,3.9,4.4
3,2011,97.7,76.1,3,0,3.9,4.4
3,2011,98.3,69.1,4,0,3.9,4.4
3,2011,97.1,67.7,5,0,3.9,4.4
3,2011,97.9,66.7,6,0,3.9,4.4
3,2011,97.5,58.2,7,0,3.9,4.4
3,2011,98.5,42.1,8,0,3.9,4.4
3,2011,98,21,9,0,3.9,4.4
3,2011,,2.3,10,0,3.9,4.4
3,2011,83.8,10.1,0,1,3.9,4.4
3,2011,90.3,62.7,1,1,3.9,4.4
3,2011,95,93.8,2,1,3.9,4.4
3,2011,96.6,95.6,3,1,3.9,4.4
3,2011,97.8,96.6,4,1,3.9,4.4
3,2011,97,95.4,5,1,3.9,4.4
3,2011,97.5,95,6,1,3.9,4.4
3,2011,96.2,91.4,7,1,3.9,4.4
3,2011,96.9,77.8,8,1,3.9,4.4
3,2011,97.8,50.8,9,1,3.9,4.4
3,2011,98.3,10.6,10,1,3.9,4.4
4,2011,94.5,9.4,0,0,3,4.1
4,2011,93.2,59.4,1,0,3,4.1
4,2011,97.8,84.1,2,0,3,4.1
4,2011,98.4,74.6,3,0,3,4.1
4,2011,98.1,70.5,4,0,3,4.1
4,2011,97.9,69.5,5,0,3,4.1
4,2011,98,66.5,6,0,3,4.1
4,2011,97.1,58.7,7,0,3,4.1
4,2011,97.8,44,8,0,3,4.1
4,2011,96.4,21.3,9,0,3,4.1
4,2011,,2.2,10,0,3,4.1
4,2011,83.4,9.2,0,1,3,4.1
4,2011,92.1,60.9,1,1,3,4.1
4,2011,95.8,93.8,2,1,3,4.1
4,2011,97.8,96.6,3,1,3,4.1
4,2011,96.3,97,4,1,3,4.1
4,2011,96.9,95.9,5,1,3,4.1
4,2011,97.7,94.7,6,1,3,4.1
4,2011,96.4,90.5,7,1,3,4.1
4,2011,95.6,78,8,1,3,4.1
4,2011,97.8,49.5,9,1,3,4.1
4,2011,,10.8,10,1,3,4.1
1,2012,90.8,7.5,0,0,0.8,3.5
1,2012,94.2,57.9,1,0,0.8,3.5
1,2012,97.4,84.3,2,0,0.8,3.5
1,2012,98.2,74.2,3,0,0.8,3.5
1,2012,98.1,70.8,4,0,0.8,3.5
1,2012,97.9,69.3,5,0,0.8,3.5
1,2012,97.4,65.8,6,0,0.8,3.5
1,2012,97.9,59.3,7,0,0.8,3.5
1,2012,97.8,46.4,8,0,0.8,3.5
1,2012,97.8,21.3,9,0,0.8,3.5
1,2012,,2.9,10,0,0.8,3.5
1,2012,85.7,9.9,0,1,0.8,3.5
1,2012,90.7,60.3,1,1,0.8,3.5
1,2012,95.9,94.6,2,1,0.8,3.5
1,2012,96.8,97.4,3,1,0.8,3.5
1,2012,97,96.7,4,1,0.8,3.5
1,2012,97.1,96,5,1,0.8,3.5
1,2012,96.4,94.7,6,1,0.8,3.5
1,2012,96.2,91.4,7,1,0.8,3.5
1,2012,96.1,78.9,8,1,0.8,3.5
1,2012,96.2,52,9,1,0.8,3.5
1,2012,98.3,12.2,10,1,0.8,3.5
2,2012,85.9,9.4,0,0,1,2.8
2,2012,92.9,57.6,1,0,1,2.8
2,2012,96.7,83,2,0,1,2.8
2,2012,98.6,75.4,3,0,1,2.8
2,2012,97.5,71.1,4,0,1,2.8
2,2012,97.1,70.5,5,0,1,2.8
2,2012,97.3,67.7,6,0,1,2.8
2,2012,97.1,59.3,7,0,1,2.8
2,2012,98.6,45.2,8,0,1,2.8
2,2012,98.9,24.8,9,0,1,2.8
2,2012,,3,10,0,1,2.8
2,2012,84.3,9.8,0,1,1,2.8
2,2012,89.2,60,1,1,1,2.8
2,2012,95.7,93.8,2,1,1,2.8
2,2012,96.7,97.7,3,1,1,2.8
2,2012,97.4,96.1,4,1,1,2.8
2,2012,97,96.4,5,1,1,2.8
2,2012,97.1,94.6,6,1,1,2.8
2,2012,96.4,90.2,7,1,1,2.8
2,2012,97.5,78.1,8,1,1,2.8
2,2012,97.1,54.8,9,1,1,2.8
2,2012,,11.3,10,1,1,2.8
3,2012,84.9,12.2,0,0,1.8,3.9
3,2012,90.5,59.9,1,0,1.8,3.9
3,2012,97.5,83.2,2,0,1.8,3.9
3,2012,97.9,74.9,3,0,1.8,3.9
3,2012,97.9,69.5,4,0,1.8,3.9
3,2012,97.2,69.4,5,0,1.8,3.9
3,2012,97.4,67.2,6,0,1.8,3.9
3,2012,97.5,59.5,7,0,1.8,3.9
3,2012,97.5,44.4,8,0,1.8,3.9
3,2012,98.6,21.6,9,0,1.8,3.9
3,2012,,2.6,10,0,1.8,3.9
3,2012,96.2,11.5,0,1,1.8,3.9
3,2012,82.8,61.6,1,1,1.8,3.9
3,2012,91.1,94.2,2,1,1.8,3.9
3,2012,92.9,97.4,3,1,1.8,3.9
3,2012,93,95.6,4,1,1.8,3.9
3,2012,93.7,95.7,5,1,1.8,3.9
3,2012,92.8,94.7,6,1,1.8,3.9
3,2012,92.3,89,7,1,1.8,3.9
3,2012,92.3,79.3,8,1,1.8,3.9
3,2012,97.7,54,9,1,1.8,3.9
3,2012,,11.4,10,1,1.8,3.9
4,2012,91.8,9.3,0,0,3.1,3.9
4,2012,93.8,61.3,1,0,3.1,3.9
4,2012,97.9,84.4,2,0,3.1,3.9
4,2012,98.4,76.2,3,0,3.1,3.9
4,2012,98,69.7,4,0,3.1,3.9
4,2012,97.8,69.2,5,0,3.1,3.9
4,2012,97.8,68.1,6,0,3.1,3.9
4,2012,97.6,60.7,7,0,3.1,3.9
4,2012,98,42.9,8,0,3.1,3.9
4,2012,98.5,22.2,9,0,3.1,3.9
4,2012,,3.2,10,0,3.1,3.9
4,2012,84,9.9,0,1,3.1,3.9
4,2012,91.8,61.1,1,1,3.1,3.9
4,2012,95.6,94.8,2,1,3.1,3.9
4,2012,97.1,96.9,3,1,3.1,3.9
4,2012,97.9,96.3,4,1,3.1,3.9
4,2012,97,95.4,5,1,3.1,3.9
4,2012,96.4,94.4,6,1,3.1,3.9
4,2012,96.5,90.6,7,1,3.1,3.9
4,2012,96.3,79.5,8,1,3.1,3.9
4,2012,97.6,53.7,9,1,3.1,3.9
4,2012,,11.4,10,1,3.1,3.9
1,2013,89.6,10.3,0,0,3.4,1.9
1,2013,94.8,61.6,1,0,3.4,1.9
1,2013,97.6,84.5,2,0,3.4,1.9
1,2013,97.9,77.2,3,0,3.4,1.9
1,2013,97.4,71.2,4,0,3.4,1.9
1,2013,97,71.4,5,0,3.4,1.9
1,2013,97.2,68.8,6,0,3.4,1.9
1,2013,97.1,61,7,0,3.4,1.9
1,2013,96.8,44.2,8,0,3.4,1.9
1,2013,98.4,23.1,9,0,3.4,1.9
1,2013,,3,10,0,3.4,1.9
1,2013,83.6,10.4,0,1,3.4,1.9
1,2013,90.4,62.5,1,1,3.4,1.9
1,2013,95.8,94.3,2,1,3.4,1.9
1,2013,97.3,95.8,3,1,3.4,1.9
1,2013,97.9,96.4,4,1,3.4,1.9
1,2013,96.8,96.1,5,1,3.4,1.9
1,2013,95.5,94.8,6,1,3.4,1.9
1,2013,96.2,91,7,1,3.4,1.9
1,2013,96,81.7,8,1,3.4,1.9
1,2013,96.9,53.9,9,1,3.4,1.9
1,2013,98,12.5,10,1,3.4,1.9
2,2013,85.3,11.5,0,0,3.1,0.8
2,2013,92.7,61.1,1,0,3.1,0.8
2,2013,97.2,81.4,2,0,3.1,0.8
2,2013,97.7,76.7,3,0,3.1,0.8
2,2013,97.6,70.7,4,0,3.1,0.8
2,2013,97.8,69.9,5,0,3.1,0.8
2,2013,97.3,69.4,6,0,3.1,0.8
2,2013,98.1,62.9,7,0,3.1,0.8
2,2013,96.3,47.7,8,0,3.1,0.8
2,2013,96.6,24.3,9,0,3.1,0.8
2,2013,,2.9,10,0,3.1,0.8
2,2013,77.2,22.4,0,1,3.1,0.8
2,2013,90.5,138.9,1,1,3.1,0.8
2,2013,95.5,206.7,2,1,3.1,0.8
2,2013,97.2,224.5,3,1,3.1,0.8
2,2013,97.4,220.3,4,1,3.1,0.8
2,2013,97.3,230.3,5,1,3.1,0.8
2,2013,96.7,259.1,6,1,3.1,0.8
2,2013,96.7,285.6,7,1,3.1,0.8
2,2013,96.2,226,8,1,3.1,0.8
2,2013,97.3,123.3,9,1,3.1,0.8
2,2013,98.1,59.3,10,1,3.1,0.8
3,2013,88.9,12.8,0,0,3.1,2.1
3,2013,91.2,63.1,1,0,3.1,2.1
3,2013,96.5,82.2,2,0,3.1,2.1
3,2013,98,75.4,3,0,3.1,2.1
3,2013,98.1,68.9,4,0,3.1,2.1
3,2013,97.4,70.2,5,0,3.1,2.1
3,2013,97.8,68.6,6,0,3.1,2.1
3,2013,97.8,63,7,0,3.1,2.1
3,2013,96.7,46.8,8,0,3.1,2.1
3,2013,97.2,23.6,9,0,3.1,2.1
3,2013,,3.5,10,0,3.1,2.1
3,2013,95.1,12.4,0,1,3.1,2.1
3,2013,81.9,63.9,1,1,3.1,2.1
3,2013,91,93.9,2,1,3.1,2.1
3,2013,94.1,97.5,3,1,3.1,2.1
3,2013,93.6,97.2,4,1,3.1,2.1
3,2013,93.2,95.1,5,1,3.1,2.1
3,2013,93.1,95.1,6,1,3.1,2.1
3,2013,92.8,92.3,7,1,3.1,2.1
3,2013,92.1,82,8,1,3.1,2.1
3,2013,97.2,56.7,9,1,3.1,2.1
3,2013,99.3,13.6,10,1,3.1,2.1
4,2013,88.9,11.3,0,0,2.9,2.4
4,2013,92.8,60.4,1,0,2.9,2.4
4,2013,97.3,83.1,2,0,2.9,2.4
4,2013,98.6,75.6,3,0,2.9,2.4
4,2013,98.3,71.4,4,0,2.9,2.4
4,2013,97.7,70.3,5,0,2.9,2.4
4,2013,97.2,72.1,6,0,2.9,2.4
4,2013,97.6,61.9,7,0,2.9,2.4
4,2013,98.2,45.4,8,0,2.9,2.4
4,2013,97.7,24.6,9,0,2.9,2.4
4,2013,,3.7,10,0,2.9,2.4
4,2013,88,10.6,0,1,2.9,2.4
4,2013,90.5,61,1,1,2.9,2.4
4,2013,95.1,92.8,2,1,2.9,2.4
4,2013,97.8,97.1,3,1,2.9,2.4
4,2013,97.8,97.3,4,1,2.9,2.4
4,2013,97.4,95.6,5,1,2.9,2.4
4,2013,96.9,94.8,6,1,2.9,2.4
4,2013,96.9,92.2,7,1,2.9,2.4
4,2013,96.6,81.3,8,1,2.9,2.4
4,2013,97.5,55,9,1,2.9,2.4
4,2013,98.8,13.3,10,1,2.9,2.4
