YEAR,QUARTER,POST,TREAT,INDUSTRIES,WAGEGROWTH,GENDER,GDP,CPI,EMPLOYMENT,LFPR
2012,4,1,1,Guard,1.42,0,3.1,3.9,97.6,49.5
2013,1,1,0,Financial and insurance,1.59,1,3.4,1.9,96,68.8
2013,1,1,1,Cleaner (general),30.40,1,3.4,1.9,96,68.8
2013,1,1,1,Guard,1.56,1,3.4,1.9,96,68.8
2013,1,1,0,Financial and insurance,0.06,0,3.4,1.9,97.1,50.2
2013,1,1,1,Cleaner (general),25.38,0,3.4,1.9,97.1,50.2
2013,1,1,1,Guard,0.96,0,3.4,1.9,97.1,50.2
2013,2,1,0,Financial and insurance,-0.81,1,3.1,0.8,96.2,69.4
2013,2,1,1,Cleaner (general),-22.05,1,3.1,0.8,96.2,69.4
2013,2,1,1,Guard,4.68,1,3.1,0.8,96.2,69.4
2013,2,1,0,Financial and insurance,0.70,0,3.1,0.8,97,50.4
2013,2,1,1,Cleaner (general),-18.33,0,3.1,0.8,97,50.4
2013,2,1,1,Guard,5.28,0,3.1,0.8,97,50.4
2013,3,1,0,Financial and insurance,2.29,1,3.1,2.1,96.2,69.6
2013,3,1,1,Cleaner (general),2.71,1,3.1,2.1,96.2,69.6
2013,3,1,1,Guard,2.68,1,3.1,2.1,96.2,69.6
2013,3,1,0,Financial and insurance,2.29,0,3.1,2.1,96.9,50.3
2013,3,1,1,Cleaner (general),0.90,0,3.1,2.1,96.9,50.3
2013,3,1,1,Guard,2.58,0,3.1,2.1,96.9,50.3
2013,4,1,0,Financial and insurance,-1.75,1,2.9,2.4,96.5,68.8
2013,4,1,1,Cleaner (general),-0.77,1,2.9,2.4,96.5,68.8
2013,4,1,1,Guard,2.25,1,2.9,2.4,96.5,68.8
2013,4,1,0,Financial and insurance,-1.75,0,2.9,2.4,97.4,50.4
2013,4,1,1,Cleaner (general),1.11,0,2.9,2.4,97.4,50.4
2013,4,1,1,Guard,2.99,0,2.9,2.4,97.4,50.4
